10181.95	10270.95	10109.00	10210.15	377196
10283.90	10283.90	10090.00	10129.85	407793
10709.80	10709.80	10303.30	10346.90	623006
10541.00	10705.50	10510.55	10610.60	481725
10650.50	10705.00	10532.05	10565.35	598144
10550.00	10706.00	10525.00	10680.75	458359
10631.90	10633.95	10526.55	10556.65	452503
10535.15	10720.00	10530.00	10588.20	756801
10378.00	10566.75	10308.45	10535.15	986206
10343.05	10345.00	10206.50	10284.30	577252
10494.05	10494.05	10337.55	10346.75	545106
10500.05	10623.65	10494.05	10522.10	430213
10489.30	10550.00	10477.40	10525.25	544616
10465.05	10580.00	10431.05	10488.15	501196
10500.00	10536.40	10440.00	10473.40	301707
10544.00	10568.40	10405.00	10503.60	568773
10345.00	10550.00	10344.00	10533.85	598050
10399.00	10400.00	10300.00	10332.00	439721
10150.00	10300.90	10150.00	10280.75	445805
10260.00	10260.00	10130.15	10178.85	663758
10350.00	10412.70	10245.80	10262.10	507107
10401.00	10467.95	10286.30	10362.45	819552
9999.00	10397.95	9951.35	10331.25	1193178
2345.00	2354.55	2336.00	2344.05	2964518
2340.00	2357.50	2329.15	2349.30	5075158
2343.85	2359.35	2338.15	2349.40	6277225
2314.45	2349.70	2313.00	2345.05	4907059
2306.55	2317.90	2303.75	2308.40	5118016
2308.10	2311.95	2295.00	2298.25	3788439
2317.05	2324.80	2312.05	2318.00	2715513
2319.25	2329.40	2309.00	2314.10	5476841
2309.00	2319.00	2295.10	2314.15	5143193
2329.95	2335.60	2316.00	2318.15	4429528
2341.80	2369.10	2334.10	2345.00	6171007
2383.00	2383.00	2325.00	2334.10	7259173
2343.50	2371.80	2338.50	2368.90	5861389
2338.55	2350.20	2335.60	2342.50	5043891
2350.40	2360.70	2335.10	2340.45	7127442
2376.00	2382.45	2350.00	2354.95	9588393
2374.95	2390.10	2360.00	2364.80	6113091
2423.05	2427.60	2355.00	2382.15	28540942
2440.05	2451.00	2432.05	2436.45	3758150
2468.00	2468.00	2449.50	2457.85	12734296
2460.00	2465.80	2445.00	2453.30	4604818
2440.00	2462.65	2426.25	2451.05	6401669
2483.00	2483.00	2435.95	2438.85	8127833
2452.00	2476.85	2452.00	2474.60	6635537
2440.00	2456.00	2422.95	2448.20	11554644
2421.70	2438.25	2411.00	2432.00	6826286
2421.10	2436.15	2417.25	2428.70	4100185
2420.00	2433.95	2412.45	2423.60	4337938
2412.65	2423.65	2405.30	2410.70	4673813
2406.55	2425.65	2401.65	2412.65	9056421
3284.00	3329.00	3275.00	3301.40	778014
3285.00	3307.00	3266.55	3283.75	920545
3292.00	3295.05	3262.60	3285.00	429096
3289.70	3296.00	3264.00	3280.50	546575
3295.00	3299.20	3259.30	3269.20	633934
3294.70	3296.00	3249.05	3267.50	822467
3230.00	3319.80	3221.10	3309.75	1102120
3173.90	3231.00	3165.00	3216.50	1109881
3186.00	3205.00	3151.00	3166.65	486969
3148.80	3212.50	3114.40	3196.25	1007308
3160.05	3176.45	3143.05	3148.80	697564
3217.50	3224.90	3141.75	3157.25	1214383
3246.80	3266.95	3186.00	3214.55	1464192
3294.00	3308.00	3255.00	3262.60	1054827
3274.50	3314.90	3261.35	3283.95	623515
3298.80	3298.80	3261.70	3274.50	1019051
3300.00	3322.50	3285.80	3304.50	1091384
3314.00	3349.00	3300.05	3306.65	1201025
3257.00	3352.00	3246.80	3339.50	1423507
3261.60	3264.00	3239.00	3248.60	1397407
3277.55	3302.45	3240.00	3261.35	1264935
3178.05	3270.00	3178.05	3263.20	1370306
3216.05	3221.15	3177.60	3185.80	591509
3209.95	3221.55	3186.60	3213.30	544452
3182.00	3205.00	3172.80	3199.10	700158
3173.00	3182.95	3152.00	3172.80	805295
3136.15	3180.55	3120.85	3176.05	1163154
3120.00	3157.50	3115.00	3136.15	721199
3116.95	3124.95	3086.30	3100.30	539813
3111.95	3124.90	3100.00	3116.80	423739
3566.00	3574.65	3519.10	3524.05	1671104
3530.00	3577.00	3525.00	3570.85	2890357
3575.00	3588.65	3538.10	3542.55	4241281
3650.00	3650.00	3605.00	3609.90	2426417
3640.05	3648.00	3601.35	3628.90	1848148
3645.05	3679.00	3631.00	3638.35	4233074
3591.00	3634.95	3575.05	3621.40	2075691
3554.00	3624.00	3551.20	3589.35	2990768
3486.30	3548.00	3477.30	3537.75	1788138
3534.20	3534.20	3480.10	3513.85	1948148
3537.20	3568.45	3505.55	3528.60	2243791
3600.00	3602.80	3527.35	3536.75	1755753
3590.00	3614.00	3555.70	3589.30	1541134
3567.60	3594.95	3536.00	3585.70	1726062
3602.50	3620.00	3558.65	3577.15	1238778
